candidate_id,activity_id_a,activity_id_b,candidate_reasons,candidate_confidence,review_status,merge_applied
cand-b6e056d4cd172a7b,tpa-3212f3cc3b2855,tpa-837ab0ae3ea439,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-b0970692c9d70c40,tpa-3212f3cc3b2855,tpa-94b8d8e526d617,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-2ef92453f6ed0341,tpa-3212f3cc3b2855,tpa-a3cc13934af166,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-42dbafb9b9de4137,tpa-3212f3cc3b2855,tpa-ca5fb9eae9e92a,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-14c3c7696999ccd1,tpa-3212f3cc3b2855,tpa-d48724c8c9c6cd,exact_normalized_address,low,pending_human_review,no
cand-72662ca76f30d2ca,tpa-3212f3cc3b2855,tpa-dba5a1180e73b0,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-ee7ff7e35dfe7ab5,tpa-3212f3cc3b2855,tpa-dc7bf4ecde575f,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-4bd5d3c3c8fa424d,tpa-3212f3cc3b2855,tpa-f1c346905aac98,exact_normalized_address,low,pending_human_review,no
cand-0ec1937bcfa07653,tpa-33ef6f465319f0,tpa-71c734b38bf051,exact_normalized_address,low,pending_human_review,no
cand-3fcf3516db829f4e,tpa-34830c4d7cadef,tpa-8d4cbd0f2a328f,exact_normalized_address,low,pending_human_review,no
cand-7e317bd12e5d94b9,tpa-350650b6bcc790,tpa-b2ca052efa8cec,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-b14b101f3b7217a7,tpa-35547515486407,tpa-574a1c62bbf896,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-ed45fccaca0c05fc,tpa-356c90c8a28766,tpa-fdf6bde6fc0a36,exact_normalized_address,low,pending_human_review,no
cand-9ee3cc125be821ae,tpa-35b9b97f3d7227,tpa-753135ef983deb,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-fe0b3d9a34d91efb,tpa-35b9b97f3d7227,tpa-837ab0ae3ea439,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-2b0d74110b20a7df,tpa-35b9b97f3d7227,tpa-94b8d8e526d617,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-f073593b997aac7c,tpa-35b9b97f3d7227,tpa-a3cc13934af166,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-4e368b439f0f41ca,tpa-35b9b97f3d7227,tpa-ca5fb9eae9e92a,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-7337fd07f70d808b,tpa-35b9b97f3d7227,tpa-d48724c8c9c6cd,exact_normalized_address,low,pending_human_review,no
cand-07e8ee2a262f7cbe,tpa-35b9b97f3d7227,tpa-dba5a1180e73b0,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-dfad2149c90c52af,tpa-35b9b97f3d7227,tpa-dc7bf4ecde575f,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-6a44bf562f46559e,tpa-35b9b97f3d7227,tpa-f1c346905aac98,exact_normalized_address,low,pending_human_review,no
cand-d771d06a1b0acc32,tpa-35c5a31339653c,tpa-7101fe4fc1e13b,exact_normalized_address,low,pending_human_review,no
cand-da4aee9ac711b057,tpa-360ec28e959ae1,tpa-3874efd8d5b4cd,shared_city_building_folio,low,pending_human_review,no
cand-8fdc25f98cdafb70,tpa-360ec28e959ae1,tpa-aa3bcf451f27f2,shared_city_building_folio,low,pending_human_review,no
cand-c6b22ddea4c4b819,tpa-362863d3186233,tpa-8144c32c90887c,exact_normalized_address,low,pending_human_review,no
cand-092b2ca9781391eb,tpa-366410a626830e,tpa-6f186681915091,exact_normalized_address,low,pending_human_review,no
cand-8af3a6dc7f24e056,tpa-366410a626830e,tpa-fa02f37289b305,exact_normalized_address,low,pending_human_review,no
cand-53c0598c71587528,tpa-367c0f7fa18383,tpa-7f3dc5bea40be2,exact_normalized_address,low,pending_human_review,no
cand-21abfc701e0cefb8,tpa-373ae2e807d356,tpa-82053ba0485539,exact_normalized_address,low,pending_human_review,no
cand-19dcf6637f55bd9b,tpa-37530b82a31bf2,tpa-b78675a8ea9248,exact_normalized_address,low,pending_human_review,no
cand-7c340e258c063988,tpa-37ec9be687a3f3,tpa-820779ff656f7d,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-2c5e91c5dd61a663,tpa-38113668f154c0,tpa-3d12fedb001d91,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-7ced8a495ea82d5a,tpa-3874efd8d5b4cd,tpa-aa3bcf451f27f2,shared_city_building_folio,low,pending_human_review,no
