folio,pin,site_address,site_address_normalized,site_city,site_zip,parcel_type,land_use_code,year_built,remodel_year,building_area_sqft,parcel_area_acres,market_value_usd,building_value_usd,sale_date,sale_amount_usd,vacant_or_improved,stories,source_object_id,source_url,snapshot_date,observed_at_utc,geometry_geojson
138390.0050,A-17-30-18-42H-000053-00013.1,6805 S West Shore Blvd 1/2,6805 S WEST SHORE BLVD 1 2,Tampa,33616,,0800,1982,2004,3072,0.11,403458,284608,1989-06-01,70000,I,2,447794,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.52745903036158,27.867908987596735],[-82.52745967369312,27.868041843566594],[-82.52776142819009,27.86804535113473],[-82.52776234597835,27.867907826404842],[-82.52745903036158,27.867908987596735]]]}"
138449.0000,A-17-30-18-42J-000056-00003.0,6805 S Sparkman St,6805 S SPARKMAN ST,Tampa,33616,,0100,1900,1988,1905,0.34,392556,125556,2018-04-30,304500,I,2,447841,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.52524260585045,27.86797479280306],[-82.52493309899513,27.86797390367725],[-82.52462359213719,27.86797301475921],[-82.52462274365367,27.868179304381606],[-82.52524175853942,27.868181082413145],[-82.52524260585045,27.86797479280306]]]}"
138505.0050,A-17-30-18-42J-000073-00005.0,6827 S Sparkman St,6827 S SPARKMAN ST,Tampa,33616,,0100,2007,2016,3346,0.11,549057,449057,2024-06-12,665000,I,2,447914,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.52463860185121,27.866576911736583],[-82.52494810474592,27.866577801577773],[-82.52494867069116,27.86644027453195],[-82.52463916819158,27.866439385589036],[-82.52463860185121,27.866576911736583]]]}"
138621.0000,A-20-30-18-42J-000106-00027.0,7006 S Mascotte St,7006 S MASCOTTE ST,Tampa,33616,,0800,1983,2004,3008,0.14,426826,283882,2013-09-13,175000,I,2,448075,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.52738791380169,27.864231466443403],[-82.52738659430575,27.86440337220479],[-82.52768061161152,27.864405044335854],[-82.52768193064338,27.86423313857805],[-82.52738791380169,27.864231466443403]]]}"
138776.0000,A-20-30-18-42J-000141-00011.0,7209 S West Shore Blvd,7209 S WEST SHORE BLVD,Tampa,33616,,0100,1947,1986,1586,0.17,301063,146801,1997-09-01,62000,I,2,448253,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.52707798825773,27.86138951454769],[-82.52738747633946,27.86139039911786],[-82.52738775781548,27.86132163556008],[-82.52738803827656,27.8612528720055],[-82.5273883197534,27.861184108446363],[-82.52707883226206,27.86118322477239],[-82.52707798825773,27.86138951454769]]]}"
138921.0100,A-20-30-18-42J-000156-00008.0,7315 S Juanita St,7315 S JUANITA ST,Tampa,33616,,0100,2001,2013,1260,0.11,272698,172698,2001-05-08,114900,I,1,448419,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.53029398346717,27.859722500384592],[-82.53029342415698,27.85986002749236],[-82.53060290778969,27.859860904005824],[-82.53060346671363,27.8597233778046],[-82.53029398346717,27.859722500384592]]]}"
139037.0500,A-20-30-18-42J-000185-00014.0,7406 S Faul St,7406 S FAUL ST,Tampa,33616,,0100,2003,2014,1377,0.11,283291,180843,2003-04-23,139900,I,1,448620,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.52901173674375,27.859282379505135],[-82.52932121877565,27.85928325891694],[-82.52932177932715,27.859145732687153],[-82.5290122976815,27.859144852368793],[-82.52901173674375,27.859282379505135]]]}"
139039.0000,A-20-30-18-42J-000186-00001.0,7401 S Faul St,7401 S FAUL ST,Tampa,33616,,0100,1955,1955,800,0.11,133068,33068,2021-02-25,165000,I,1,448623,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.52981301167628,27.859556984096173],[-82.52981357058265,27.85941945697988],[-82.52950408817921,27.859418578678053],[-82.52950352887781,27.859556104896107],[-82.52981301167628,27.859556984096173]]]}"
139047.0000,A-20-30-18-42J-000186-00014.0,7406 S Juanita St,7406 S JUANITA ST,Tampa,33616,,0100,1987,2006,1073,0.11,236248,135205,2014-01-31,82000,I,1,448635,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.53012417103936,27.859145282155815],[-82.52981468942001,27.859144403637647],[-82.52981413051037,27.859281930759366],[-82.53012361251601,27.859282808370967],[-82.53012417103936,27.859145282155815]]]}"
139072.0000,A-20-30-18-42J-000188-00016.0,0,0,,,,0000,,,0,0.11,100000,0,,0,,,448663,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.53173149487216,27.859566810014872],[-82.53173205237655,27.859429283823022],[-82.5314225700008,27.859428408923485],[-82.53142201211014,27.859565936021927],[-82.53173149487216,27.859566810014872]]]}"
