city_project_id,budget_book_context_record_ids,budget_book_record_count,activity_id,master_project_id,comparison_status,match_method,budget_book_status,core_status,budget_book_project_name,core_project_name,observed_at_utc
TRANS20203,,0,tpa-5f7dc2b0ca5dc5,mp-c0aef85a2c9f148f,core_capital_only,no_exact_identifier_match,,Permitting/Submittals Approval,,E Yukon Street Resurfacing from N Florida Ave to N Nebraska Ave,2026-08-28T04:55:51+00:00
TRANS20204,,0,tpa-057423477d6ecf,mp-99e2b9dbeb0025d9,core_capital_only,no_exact_identifier_match,,30% Design Completion,,N 34th Street ADA Improvements from 29th Ave to 33rd Ave,2026-08-28T04:55:51+00:00
W70001,,0,tpa-9a365e0ded7d49,mp-1da2ead5e3e75b8c,core_capital_only,no_exact_identifier_match,,90% Design Completion,,Lykes Lane,2026-08-28T04:55:51+00:00
W70005,,0,tpa-2b64f75f74fca0,mp-84731470e9ec4ba4,core_capital_only,no_exact_identifier_match,,60% Design Completion,,S. Himes WM R&R,2026-08-28T04:55:51+00:00
W70020,,0,tpa-c658a3cc1fc9b2,mp-5647005e3afb125f,core_capital_only,no_exact_identifier_match,,Planning,,Broad Street WM Replacement,2026-08-28T04:55:51+00:00
W70026,,0,tpa-2ebcfc1e77ead8,mp-ea9fc6c6c4b60949,core_capital_only,no_exact_identifier_match,,Planning,,Davis Island_2 WM Replacement,2026-08-28T04:55:51+00:00
W70031,,0,tpa-7948b0b2ec74d1,mp-6667918782515c85,core_capital_only,no_exact_identifier_match,,Planning,,East 7th Ave WM Replacement_East,2026-08-28T04:55:51+00:00
W70033,,0,tpa-7864f9b3d1cf9b,mp-09ad526a4a42681f,core_capital_only,no_exact_identifier_match,,Planning,,E Henry Ave WM Replacement,2026-08-28T04:55:51+00:00
W70039,,0,tpa-0db9b0ea2daa64,mp-b9ace799226c3aed,core_capital_only,no_exact_identifier_match,,90% Design Completion,,Lois Ave,2026-08-28T04:55:51+00:00
W70062,,0,tpa-76fb4f536f6530,mp-260a2eefcfb31c75,core_capital_only,no_exact_identifier_match,,Planning,,West River WM Replacement,2026-08-28T04:55:51+00:00
WTR-18-0008,,0,tpa-bebd114ca3a098,mp-7621ed21efe7bebf,core_capital_only,no_exact_identifier_match,,Construction in Progress,,D. L. Tippin Chemical System Improvements,2026-08-28T04:55:51+00:00
WTR-19-0002.1,,0,tpa-de7c2c537cb666,mp-de9b74e19a7f83e3,core_capital_only,no_exact_identifier_match,,Closeout,,High Service Pump Station (GMP 1),2026-08-28T04:55:51+00:00
WTR-19-0002.2,,0,tpa-0519a7643e6f57,mp-ffaf6551b80f1f71,core_capital_only,no_exact_identifier_match,,Closeout,,High Service Pump Station (GMP 2),2026-08-28T04:55:51+00:00
WTR-19-0004,,0,tpa-602f4535586997,mp-ed9dfb9c43a898bf,core_capital_only,no_exact_identifier_match,,Closeout,,Southeast Seminole Heights,2026-08-28T04:55:51+00:00
WTR-19-0006,,0,tpa-ac008776d34431,mp-c3bc1086a6f5773c,core_capital_only,no_exact_identifier_match,,Final Inspection and Testing,,Morris Bridge East Ground Storage Tank Rehab,2026-08-28T04:55:51+00:00
WTR-20-0001.10,,0,tpa-3637a9cfa2287a,mp-592d8e1a766306a6,core_capital_only,no_exact_identifier_match,,90% Design Completion,,DLT Master Plan DB Task Order 010 Ozone Improvements,2026-08-28T04:55:51+00:00
WTR-20-0001.11,,0,tpa-3ec359f44a049e;tpa-9fdfcf578c4f85,mp-795bf8d8a7fb1471;mp-e96fe26336ec2aad,core_capital_only,no_exact_identifier_match,,,,,2026-08-28T04:55:51+00:00
WTR-20-0001.13,,0,tpa-b58c22dbdb5b41,mp-98c9fc262e13b69c,core_capital_only,no_exact_identifier_match,,Construction in Progress,,DLTWTF Master Plan Task Order 013 Filter Improvements,2026-08-28T04:55:51+00:00
WTR-20-0001.7,,0,tpa-d235d27a93974b,mp-4b232dbd379e17b5,core_capital_only,no_exact_identifier_match,,60% Design Completion,,DLTWTF MP Task Order 007 Deep Well Injection,2026-08-28T04:55:51+00:00
WTR-20-0001.8,,0,tpa-758c4530ef19a7,mp-084eceedfaa8ccfa,core_capital_only,no_exact_identifier_match,,90% Design Completion,,DLTWTF MP Task Order 008 Raw Water Pump Station,2026-08-28T04:55:51+00:00
