old_activity_id,new_activity_id,cluster_basis,cluster_key
tpa-a91aeae53a5d5f,tpa-e3d74ebeda0a07,connected_exact_normalized_project_names_across_capital_layers,CLEVELAND ST AND ROME AVE TRAFFIC SIGNAL
tpa-4b2c1f9d566e9c,tpa-e8eb05f64083fb,connected_exact_normalized_project_names_across_capital_layers,W KIRBY ST DRAINAGE IMPROVEMENTS
tpa-618f585b7e2d5e,tpa-e8eb05f64083fb,connected_exact_normalized_project_names_across_capital_layers,W KIRBY ST DRAINAGE IMPROVEMENTS
tpa-14c05d47e90fdf,tpa-e9b7d55940a116,connected_exact_normalized_project_names_across_capital_layers,SIDEWALKS HUBERT ST W CYPRESS TO W MAIN ST
tpa-87276a3fb6182d,tpa-e9b7d55940a116,connected_exact_normalized_project_names_across_capital_layers,SIDEWALKS HUBERT ST W CYPRESS TO W MAIN ST
tpa-083b6db9d748f2,tpa-ea487783c2cd04,connected_exact_normalized_project_names_across_capital_layers,FOUNDATION FOR TAMPA S NEIGHBORHOODS PROJECT MACFARLANE PARK AREA
tpa-a86207083adebf,tpa-ea487783c2cd04,connected_exact_normalized_project_names_across_capital_layers,FOUNDATION FOR TAMPA S NEIGHBORHOODS PROJECT MACFARLANE PARK AREA
tpa-2b28216e6ed073,tpa-ec41bac2a6959e,connected_exact_normalized_project_names_across_capital_layers,ADALEE PUMPING STATION REHABILITATION
tpa-d730fad4f525b9,tpa-ec41bac2a6959e,connected_exact_normalized_project_names_across_capital_layers,ADALEE PUMPING STATION REHABILITATION
tpa-351a681fb77d78,tpa-eda1b7ede907aa,connected_exact_normalized_project_names_across_capital_layers,ROME AVE PUMP STATION REHABILITATION YEAR 2
tpa-9b5d81cee0092f,tpa-eda1b7ede907aa,connected_exact_normalized_project_names_across_capital_layers,ROME AVE PUMP STATION REHABILITATION YEAR 2
tpa-b7e530495b54ab,tpa-ee4ec0506c52e7,connected_exact_normalized_project_names_across_capital_layers,GREEN SPINE CYCLE TRACK PHASE 2A
tpa-be41207f6ef31d,tpa-ee4ec0506c52e7,connected_exact_normalized_project_names_across_capital_layers,GREEN SPINE CYCLE TRACK PHASE 2A
tpa-aca9d41764da13,tpa-f05d147a1350ac,connected_exact_normalized_project_names_across_capital_layers,GANDY PARK SOUTH AND A J PALONIS PARK IMPROVEMENTS
tpa-d59bbcd1cb48db,tpa-f05d147a1350ac,connected_exact_normalized_project_names_across_capital_layers,GANDY PARK SOUTH AND A J PALONIS PARK IMPROVEMENTS
tpa-019efae193aee4,tpa-f51432f4534560,connected_exact_normalized_project_names_across_capital_layers,N 15TH STREET ADA IMPROVEMENTS FROM E 109TH AVE TO E FOWLER AVE
