finance_event_id,activity_id,master_project_id,city_project_id,contract_number,event_type,event_date,fiscal_year,amount_usd,amount_direction,funding_source,resolution_number,source_document,source_url,observed_at_utc,source_record_last_edited_at_utc,evidence_strength,is_inferred,interpretation_warning
fin-ac91bf24489dce68,,,1001415,,funded_status_reported,,,,not_applicable,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001415.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-02-26T21:04:29+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-5d3689ff6de04c1a,,,1001113,,funded_status_reported,,,,not_applicable,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001113.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-02-26T21:04:29+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-30bbd9b6a20cdd5b,,,1001112,21-C-00036,funded_status_reported,,2021,,not_applicable,Parking System Revenues,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001112.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-07-19T12:07:03+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-bcd773abbf9432bf,,,1001111,21-C-00036,funded_status_reported,,2021,,not_applicable,Parking System Revenues,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001111.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-10-04T12:20:04+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-2f50ec80e289f1c5,,,1001110,21-C-00036,funded_status_reported,,2021,,not_applicable,Parking System Revenues,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001110.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-06-27T12:11:03+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-0d0081268ba31ea8,tpa-cde54daf8d60d7,mp-d454a1f29b183480,1001169,,capital_estimate_reported,,2024,500000,reported_level,Stormwater Improvement Fee,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001169.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-10-06T17:24:57+00:00,official_source_observation,no,"Estimated cost is a reported project-level estimate, not spending or a budget amendment."
fin-41475ff215999a73,tpa-cde54daf8d60d7,mp-d454a1f29b183480,1001169,,funded_status_reported,,2024,,not_applicable,Stormwater Improvement Fee,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001169.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-10-06T17:24:57+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-337f2a5f00c962b7,,,1001170,,funded_status_reported,,,,not_applicable,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001170.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-02-26T21:04:29+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-482c20cde44b3556,,,1001172,,funded_status_reported,,,,not_applicable,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001172.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-02-26T21:04:29+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-5e2bb52a50ce526b,,,1001066,,funded_status_reported,,,,not_applicable,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001066.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-02-26T21:04:29+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-599a19072d32748b,,,1001371,,funded_status_reported,,,,not_applicable,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001371.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-02-26T21:04:29+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-e744cc118cf1fcaf,,,1001948,,funded_status_reported,,,,not_applicable,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001948.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-10-12T13:49:48+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-cf0b35bf312bf311,,,1001440,,funded_status_reported,,,,not_applicable,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001440.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-02-26T21:04:29+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
