source_id,changed_field,semantic_change_category,unique_retained_identities_affected,change_row_count,retained_record_denominator,affected_retained_rate,common_old_to_new_patterns,mass_refresh_warning
capital_locations_point,actual_cost,reported_actual_cost_changed,12,12,57,0.210526,"[{""new_value"":""0.0"",""old_value"":""0"",""record_count"":10},{""new_value"":""1500000.0"",""old_value"":""1500000"",""record_count"":1},{""new_value"":""300000.0"",""old_value"":""300000"",""record_count"":1}]",False
capital_locations_point,capital_phase,capital_project_phase_changed,1,1,57,0.017544,"[{""new_value"":""P5: Closeout"",""old_value"":""P4: Construction"",""record_count"":1}]",False
capital_locations_point,estimated_cost,estimated_cost_changed,52,52,57,0.912281,"[{""new_value"":""1200000.0"",""old_value"":""1200000"",""record_count"":5},{""new_value"":""225000.0"",""old_value"":""225000"",""record_count"":5},{""new_value"":""1500000.0"",""old_value"":""1500000"",""record_count"":2},{""new_value"":""1801300.0"",""old_value"":""1801300"",""record_count"":2},{""new_value"":""900000.0"",""old_value"":""900000"",""record_count"":2},{""new_value"":""1046500.0"",""old_value"":""1046500"",""record_count"":1},{""new_value"":""1081564.0"",""old_value"":""1081564"",""record_count"":1},{""new_value"":""1093671.0"",""old_value"":""1093671"",""record_count"":1},{""new_value"":""1130005.0"",""old_value"":""1130005"",""record_count"":1},{""new_value"":""1150000.0"",""old_value"":""1150000"",""record_count"":1}]",True
capital_locations_point,fiscalyr,other_field_changed,2,2,57,0.035088,"[{""new_value"":""2027"",""old_value"":""2026"",""record_count"":2}]",False
capital_locations_point,planned_end,planned_date_changed,6,6,57,0.105263,"[{""new_value"":""1838160000000"",""old_value"":""1819756800000"",""record_count"":2},{""new_value"":""1788825600000"",""old_value"":""1787961600000"",""record_count"":1},{""new_value"":""1787616000000"",""old_value"":""1793318400000"",""record_count"":1},{""new_value"":""1803859200000"",""old_value"":""1798761600000"",""record_count"":1},{""new_value"":""1803859200000"",""old_value"":""1806537600000"",""record_count"":1}]",False
capital_locations_point,planned_start,planned_date_changed,2,2,57,0.035088,"[{""new_value"":""1825027200000"",""old_value"":""1803859200000"",""record_count"":1},{""new_value"":""1788220800000"",""old_value"":""1806537600000"",""record_count"":1}]",False
capital_locations_point,status,status_changed,1,1,57,0.017544,"[{""new_value"":""Closeout"",""old_value"":""Construction in Progress"",""record_count"":1}]",False
capital_locations_polygon,ContractNumber,other_field_changed,7,7,34,0.205882,"[{""new_value"":""24-C0041"",""old_value"":""(blank)"",""record_count"":2},{""new_value"":""1001176"",""old_value"":""(blank)"",""record_count"":1},{""new_value"":""19-C-00012"",""old_value"":""(blank)"",""record_count"":1},{""new_value"":""19-C-00059"",""old_value"":""(blank)"",""record_count"":1},{""new_value"":""22-D-38206"",""old_value"":""(blank)"",""record_count"":1},{""new_value"":""24-C00039"",""old_value"":""(blank)"",""record_count"":1}]",False
capital_locations_polygon,Council,other_field_changed,18,18,34,0.529412,"[{""new_value"":""4"",""old_value"":""(blank)"",""record_count"":6},{""new_value"":""5"",""old_value"":""(blank)"",""record_count"":6},{""new_value"":""6"",""old_value"":""(blank)"",""record_count"":4},{""new_value"":""7"",""old_value"":""(blank)"",""record_count"":2}]",False
capital_locations_polygon,EBO,other_field_changed,4,4,34,0.117647,"[{""new_value"":""30.0"",""old_value"":""(blank)"",""record_count"":1},{""new_value"":""8.6"",""old_value"":""(blank)"",""record_count"":1},{""new_value"":""21.0"",""old_value"":""21"",""record_count"":1},{""new_value"":""30.0"",""old_value"":""30"",""record_count"":1}]",False
capital_locations_polygon,EBOAttained,other_field_changed,2,2,34,0.058824,"[{""new_value"":""11.2"",""old_value"":""(blank)"",""record_count"":1},{""new_value"":""0.0"",""old_value"":""0"",""record_count"":1}]",False
capital_locations_polygon,MapScale,other_field_changed,34,34,34,1.0,"[{""new_value"":""6000.0"",""old_value"":""6000"",""record_count"":34}]",True
capital_locations_polygon,MultiYear,other_field_changed,4,4,34,0.117647,"[{""new_value"":""Yes"",""old_value"":""No"",""record_count"":4}]",False
capital_locations_polygon,Neighborhood,other_field_changed,18,18,34,0.529412,"[{""new_value"":""East Forest Hills"",""old_value"":""(blank)"",""record_count"":2},{""new_value"":""Old Seminole Heights"",""old_value"":""(blank)"",""record_count"":2},{""new_value"":""Tampa Overlook"",""old_value"":""(blank)"",""record_count"":2},{""new_value"":""Beach Park"",""old_value"":""(blank)"",""record_count"":1},{""new_value"":""Belmar Gardens"",""old_value"":""(blank)"",""record_count"":1},{""new_value"":""Carver City Lincoln Gardens"",""old_value"":""(blank)"",""record_count"":1},{""new_value"":""East Side Commercial"",""old_value"":""(blank)"",""record_count"":1},{""new_value"":""FairOaks Manhattan"",""old_value"":""(blank)"",""record_count"":1},{""new_value"":""Golfview"",""old_value"":""(blank)"",""record_count"":1},{""new_value"":""Interbay - South of Gandy"",""old_value"":""(blank)"",""record_count"":1}]",False
